physical_time,tau_from_H0,k,rms,series
0.001,0.0,3.141592653589793,0.4227554005015864,L10_continuous_numeric
0.001,0.0,3.204424506661589,0.4363652037204729,L10_continuous_numeric
0.001,0.0,3.267256359733385,0.44356146161757815,L10_continuous_numeric
0.001,0.0,3.330088212805181,0.44494821990275935,L10_continuous_numeric
0.001,0.0,3.3929200658769765,0.45997948286469525,L10_continuous_numeric
0.001,0.0,3.4557519189487724,0.4591198861125493,L10_continuous_numeric
0.001,0.0,3.5185837720205684,0.4607560184247921,L10_continuous_numeric
0.001,0.0,3.581415625092364,0.47560546775662915,L10_continuous_numeric
0.001,0.0,3.6442474781641603,0.4745452532398893,L10_continuous_numeric
0.001,0.0,3.707079331235956,0.47842455046118887,L10_continuous_numeric
0.001,0.0,3.7699111843077513,0.49384826963133915,L10_continuous_numeric
0.001,0.0,3.8327430373795477,0.50956025838466,L10_continuous_numeric
0.001,0.0,3.895574890451343,0.50222722294334,L10_continuous_numeric
0.001,0.0,3.9584067435231396,0.5004225000194107,L10_continuous_numeric
0.001,0.0,4.0212385965949355,0.5029485779125237,L10_continuous_numeric
0.001,0.0,4.084070449666731,0.5169497977274139,L10_continuous_numeric
0.001,0.0,4.1469023027385274,0.5213996915567753,L10_continuous_numeric
0.001,0.0,4.209734155810323,0.5162501370077012,L10_continuous_numeric
0.001,0.0,4.272566008882119,0.5227294419980889,L10_continuous_numeric
0.001,0.0,4.335397861953915,0.534218604345092,L10_continuous_numeric
0.001,0.0,4.39822971502571,0.5237686635647606,L10_continuous_numeric
0.001,0.0,4.461061568097507,0.538733695851051,L10_continuous_numeric
0.001,0.0,4.523893421169302,0.5315862290789017,L10_continuous_numeric
0.001,0.0,4.586725274241098,0.5269618096559152,L10_continuous_numeric
0.001,0.0,4.649557127312894,0.5359704847734318,L10_continuous_numeric
0.001,0.0,4.71238898038469,0.5422104417259597,L10_continuous_numeric
0.001,0.0,4.775220833456485,0.5419455804345032,L10_continuous_numeric
0.001,0.0,4.838052686528282,0.5546279330231827,L10_continuous_numeric
0.001,0.0,4.900884539600077,0.5348618538447365,L10_continuous_numeric
0.001,0.0,4.9637163926718735,0.5447456738160951,L10_continuous_numeric
0.001,0.0,5.026548245743669,0.5399005936166094,L10_continuous_numeric
0.001,0.0,5.0893800988154645,0.5452721357480589,L10_continuous_numeric
0.001,0.0,5.15221195188726,0.550807046909367,L10_continuous_numeric
0.001,0.0,5.215043804959057,0.5435548740997924,L10_continuous_numeric
0.001,0.0,5.277875658030853,0.5420814108168689,L10_continuous_numeric
0.001,0.0,5.340707511102648,0.5433980695557681,L10_continuous_numeric
0.001,0.0,5.403539364174444,0.5406702854939108,L10_continuous_numeric
0.001,0.0,5.466371217246239,0.5340731429184423,L10_continuous_numeric
